fips_code,county_name,total_population,white,black,amerindian,asian,hawaiian_or_PI,other_race,two_or_more,hispanic
01001,"Autauga County, Alabama",55639,42150,10866,155,649,24,374,1421,1601
01003,"Baldwin County, Alabama",218289,186504,19153,1514,2033,10,3398,5677,9947
01005,"Barbour County, Alabama",25026,11587,11929,88,122,1,777,522,1110
01007,"Bibb County, Alabama",22374,17138,5045,12,56,0,9,114,600
01009,"Blount County, Alabama",57755,54271,808,55,236,55,1037,1293,5362
01011,"Bullock County, Alabama",10173,2663,6980,0,137,0,318,75,824
01013,"Butler County, Alabama",19726,10183,8795,66,261,0,98,323,290
01015,"Calhoun County, Alabama",114324,83801,24190,358,925,327,1871,2852,4406
21135,"Lewis County, Kentucky",13345,13030,51,51,19,0,7,187,7
21137,"Lincoln County, Kentucky",24493,23113,620,5,42,0,155,558,421
21139,"Livingston County, Kentucky",9172,8903,74,6,28,2,6,153,192
21141,"Logan County, Kentucky",27049,24572,1794,16,73,0,121,473,777
21143,"Lyon County, Kentucky",8226,7532,464,32,69,9,17,103,195
21145,"McCracken County, Kentucky",65485,55296,6665,232,582,41,388,2281,1694
21147,"McCreary County, Kentucky",17333,15567,1071,109,154,12,18,402,426
21151,"Madison County, Kentucky",92090,83884,3942,355,939,250,526,2194,2330
21155,"Marion County, Kentucky",19257,17315,1412,35,66,36,131,262,528
21157,"Marshall County, Kentucky",31225,30241,187,85,47,0,113,552,534
21161,"Mason County, Kentucky",17122,15337,1081,8,167,13,80,436,359
21163,"Meade County, Kentucky",28379,25929,1051,133,198,59,101,908,1068
21167,"Mercer County, Kentucky",21690,20094,747,54,169,6,157,463,662
21169,"Metcalfe County, Kentucky",10062,9580,217,34,22,0,3,206,145
21173,"Montgomery County, Kentucky",28042,26423,819,160,45,0,143,452,803
21175,"Morgan County, Kentucky",13270,12382,487,51,77,50,99,124,222
21179,"Nelson County, Kentucky",45915,42303,2347,39,268,0,136,822,1022
21181,"Nicholas County, Kentucky",7189,6929,67,6,0,0,49,138,108
21185,"Oldham County, Kentucky",66508,60193,2565,142,1100,6,482,2020,2654
21187,"Owen County, Kentucky",10847,10319,150,0,0,0,85,293,78
21191,"Pendleton County, Kentucky",14587,13917,109,4,105,65,30,357,204
21195,"Pike County, Kentucky",58595,57094,468,74,320,20,52,567,562
21197,"Powell County, Kentucky",12283,11962,18,27,48,0,8,220,233
21201,"Robertson County, Kentucky",2139,2114,22,0,0,0,0,3,38
21203,"Rockcastle County, Kentucky",16795,16436,18,60,24,0,18,239,167
21207,"Russell County, Kentucky",17846,16914,93,0,129,0,428,282,679
21209,"Scott County, Kentucky",55961,49080,2602,171,635,0,1245,2228,2438
21213,"Simpson County, Kentucky",18319,15673,1692,74,148,0,162,570,466
21215,"Spencer County, Kentucky",18945,18172,281,21,112,0,61,298,466
21219,"Todd County, Kentucky",12334,10797,1016,6,11,0,299,205,540
21223,"Trimble County, Kentucky",8528,7948,29,19,0,58,231,243,280
21225,"Union County, Kentucky",14582,12060,2227,0,70,0,76,149,181
21229,"Washington County, Kentucky",12044,10723,895,0,94,0,24,308,181
21231,"Wayne County, Kentucky",20447,19262,370,99,18,0,470,228,699
21235,"Whitley County, Kentucky",36252,35139,334,122,181,0,97,379,496
21237,"Wolfe County, Kentucky",7188,7019,3,41,10,0,2,113,2
23001,"Androscoggin County, Maine",107958,98107,2559,177,984,0,379,5752,2042
23003,"Aroostook County, Maine",67431,63713,683,1289,258,25,210,1253,868
23007,"Franklin County, Maine",29933,28705,86,19,142,7,104,870,398
23009,"Hancock County, Maine",54832,52336,433,319,664,8,106,966,833
23013,"Knox County, Maine",39809,38067,184,220,208,5,224,901,606
23015,"Lincoln County, Maine",34415,32910,168,134,295,0,88,820,442
23019,"Penobscot County, Maine",151696,142691,1274,2066,1194,11,631,3829,2199
23021,"Piscataquis County, Maine",16864,16041,115,44,130,0,161,373,319
23025,"Somerset County, Maine",50573,48731,309,143,304,0,58,1028,572
23029,"Washington County, Maine",31378,28369,221,1682,137,9,168,792,790
23031,"York County, Maine",206074,195085,1872,996,2362,27,462,5270,3689
27003,"Anoka County, Minnesota",353775,291300,23860,1970,16165,86,5848,14546,16769
27005,"Becker County, Minnesota",34227,29755,146,2006,209,6,307,1798,738
27007,"Beltrami County, Minnesota",46784,33943,587,9074,295,36,0,2849,1114
27009,"Benton County, Minnesota",40476,36381,1876,67,378,0,537,1237,1086
27011,"Big Stone County, Minnesota",4974,4872,3,3,7,0,9,80,102
27013,"Blue Earth County, Minnesota",67368,60496,2794,139,1517,15,474,1933,2579
27015,"Brown County, Minnesota",25076,23854,183,65,166,0,544,264,1132
27017,"Carlton County, Minnesota",35709,31804,914,1481,234,0,26,1250,638
27019,"Carver County, Minnesota",103561,94084,1874,234,3191,11,1176,2991,4419
27021,"Cass County, Minnesota",29462,24075,125,2818,160,5,422,1857,683
27023,"Chippewa County, Minnesota",11876,10580,128,220,139,160,573,76,900
27025,"Chisago County, Minnesota",55844,52788,662,315,638,14,82,1345,1283
47121,"Meigs County, Tennessee",12237,11636,232,45,33,0,50,241,272
47125,"Montgomery County, Tennessee",204992,141679,40546,947,4878,663,3826,12453,21063
47127,"Moore County, Tennessee",6396,5926,119,72,213,1,1,64,1
47131,"Obion County, Tennessee",30343,25345,3421,72,131,5,448,921,1415
47133,"Overton County, Tennessee",22171,21482,97,24,70,139,8,351,347
47137,"Pickett County, Tennessee",5068,4969,11,0,0,0,0,88,161
47139,"Polk County, Tennessee",16807,15877,144,37,27,0,77,645,362
47143,"Rhea County, Tennessee",32964,30584,579,31,172,0,559,1039,1682
47145,"Roane County, Tennessee",53331,49925,1275,226,412,18,237,1238,1043
47149,"Rutherford County, Tennessee",324139,243607,49005,844,11318,37,5443,13885,26978
47151,"Scott County, Tennessee",22020,21527,127,122,3,0,15,226,218
47153,"Sequatchie County, Tennessee",14936,14438,64,26,0,0,51,357,536
47157,"Shelby County, Tennessee",936611,357239,504387,1728,25385,339,26189,21344,60266
47159,"Smith County, Tennessee",19926,18407,551,93,89,0,249,537,572
47163,"Sullivan County, Tennessee",157707,148420,2922,400,1042,107,1092,3724,3137
47165,"Sumner County, Tennessee",187680,160257,14794,409,2784,156,2679,6601,9623
47169,"Trousdale County, Tennessee",10910,9045,1129,66,31,0,45,594,108
47171,"Unicoi County, Tennessee",17821,17053,48,52,75,0,280,313,946
47175,"Van Buren County, Tennessee",5813,5603,10,0,0,0,32,168,78
47177,"Warren County, Tennessee",40971,36702,1078,98,309,127,1270,1387,3770
47181,"Wayne County, Tennessee",16638,15123,990,16,63,24,92,330,360
47183,"Weakley County, Tennessee",33377,29458,2851,110,91,23,286,558,916
47187,"Williamson County, Tennessee",232380,202325,9507,897,10867,49,1779,6956,11302
47189,"Wilson County, Tennessee",140604,121579,9674,395,2625,22,2398,3911,6288
49003,"Box Elder County, Utah",54953,50833,291,507,453,87,1155,1627,5231
49005,"Cache County, Utah",126336,113687,870,473,2497,505,4084,4220,13503
49009,"Daggett County, Utah",590,576,1,2,0,0,11,0,14
49011,"Davis County, Utah",350761,312734,4471,1600,6038,2615,6749,16554,34780
49015,"Emery County, Utah",10099,9812,7,68,104,27,0,81,632
49017,"Garfield County, Utah",5000,4638,7,215,3,11,86,40,309
49019,"Grand County, Utah",9698,8934,41,208,186,41,17,271,997
49021,"Iron County, Utah",53148,48229,337,996,502,137,1236,1711,4814
49023,"Juab County, Utah",11623,10843,44,161,16,21,259,279,635
49025,"Kane County, Utah",7658,7136,15,253,124,12,79,39,370
49027,"Millard County, Utah",12963,11444,43,145,168,9,822,332,1643
49029,"Morgan County, Utah",11950,11374,95,16,24,29,165,247,346
49031,"Piute County, Utah",1870,1803,4,4,0,0,48,11,61
49033,"Rich County, Utah",2415,2205,0,0,0,0,163,47,231
49035,"Salt Lake County, Utah",1146215,888967,22339,9056,47202,17834,106779,54038,211869
49037,"San Juan County, Utah",15295,7520,42,7017,91,43,57,525,900
49039,"Sanpete County, Utah",30421,26613,201,318,239,189,2309,552,2898
49041,"Sevier County, Utah",21475,20272,139,252,64,59,420,269,1116
49043,"Summit County, Utah",41680,38166,272,172,715,2,807,1546,4650
49045,"Tooele County, Utah",69740,61607,486,367,498,457,2820,3505,8834
49047,"Uintah County, Utah",35736,31002,181,2491,277,27,455,1303,3025
49049,"Utah County, Utah",621506,560029,3861,3470,8810,5267,12940,27129,74069
49051,"Wasatch County, Utah",33053,30304,221,120,342,5,640,1421,4492
49053,"Washington County, Utah",172127,154802,1202,2347,1562,1201,6379,4634,18297
49055,"Wayne County, Utah",2698,2625,2,17,4,22,4,24,167
49057,"Weber County, Utah",255284,224286,2590,1703,3178,678,10939,11910,47010
50003,"Bennington County, Vermont",35649,33881,309,138,321,46,160,794,753
50005,"Caledonia County, Vermont",30027,28567,232,50,141,0,221,816,517
50009,"Essex County, Vermont",6179,5938,46,4,27,0,17,147,86
50011,"Franklin County, Vermont",49275,46531,188,318,363,0,311,1564,818
50015,"Lamoille County, Vermont",25376,24109,283,155,66,0,99,664,481
50017,"Orange County, Vermont",28873,27778,121,88,102,24,81,679,398
50021,"Rutland County, Vermont",58527,56043,410,183,491,0,96,1304,903
50023,"Washington County, Vermont",58336,55566,457,80,556,42,193,1442,1147
50027,"Windsor County, Vermont",55191,52761,377,100,539,0,263,1151,996
51001,"Accomack County, Virginia",32560,21773,9390,48,244,0,154,951,2880
27165,"Watonwan County, Minnesota",10903,9075,46,0,181,0,1350,251,2819
29037,"Cass County, Missouri",104687,94400,4377,482,626,152,823,3827,4800
29043,"Christian County, Missouri",87324,82384,1012,383,527,24,390,2604,2735
29049,"Clinton County, Missouri",20503,19581,293,74,112,15,20,408,467
29055,"Crawford County, Missouri",23984,23064,138,11,73,116,176,406,497
29061,"Daviess County, Missouri",8294,8011,51,17,17,10,56,132,136
29067,"Douglas County, Missouri",13335,12730,54,255,16,0,197,83,286
29073,"Gasconade County, Missouri",14673,14116,88,53,133,0,24,259,87
29079,"Grundy County, Missouri",9885,9395,26,49,119,1,28,267,243
29085,"Hickory County, Missouri",9452,9075,2,145,45,0,40,145,169
29091,"Howell County, Missouri",40130,38400,111,453,279,0,85,802,899
29097,"Jasper County, Missouri",120528,107491,2364,1482,1398,343,2069,5381,9913
29101,"Johnson County, Missouri",53948,47613,2096,124,1144,164,304,2503,2514
29107,"Lafayette County, Missouri",32697,30635,767,69,236,68,384,538,1009
29113,"Lincoln County, Missouri",57590,54294,1321,125,160,12,261,1417,1459
29119,"McDonald County, Missouri",22882,18484,428,711,349,590,621,1699,2626
29125,"Maries County, Missouri",8791,8661,27,25,29,0,12,37,291
29131,"Miller County, Missouri",25369,24503,135,88,217,14,36,376,505
29137,"Monroe County, Missouri",8630,8082,277,61,44,12,24,130,146
29143,"New Madrid County, Missouri",17275,13993,2732,34,0,0,0,516,335
29149,"Oregon County, Missouri",10561,10079,10,140,38,5,40,249,196
29155,"Pemiscot County, Missouri",16330,11297,4416,13,6,0,157,441,435
29203,"Shannon County, Missouri",8207,7792,10,11,0,0,0,394,108
29209,"Stone County, Missouri",31875,30593,66,146,145,0,308,617,743
29215,"Texas County, Missouri",25518,23484,514,248,467,11,123,671,560
29221,"Washington County, Missouri",24819,23502,513,53,21,35,0,695,363
29227,"Worth County, Missouri",2001,1967,12,1,1,0,1,19,48
29510,"St. Louis city, Missouri",304709,141519,139140,784,10266,112,3441,9447,12530
12005,"Bay County, Florida",180076,144830,19301,547,4073,258,2774,8293,11947
12011,"Broward County, Florida",1942273,1103866,555741,5129,70561,1241,67771,137964,586236
12017,"Citrus County, Florida",147938,135714,4043,412,2616,26,1224,3903,8677
12023,"Columbia County, Florida",70898,53581,12935,147,682,15,883,2655,4553
12031,"Duval County, Florida",948651,549432,280209,2136,44378,629,23612,48255,96743
12037,"Franklin County, Florida",11914,9506,1651,12,34,0,329,382,669
12043,"Glades County, Florida",13777,10768,1869,558,91,0,319,172,2924
12049,"Hardee County, Florida",27027,20749,1734,50,316,6,2460,1712,11863
12055,"Highlands County, Florida",104574,82933,9916,136,1545,0,6300,3744,21365
12061,"Indian River County, Florida",156964,132324,13056,408,2230,120,2677,6149,19675
12067,"Lafayette County, Florida",8576,6902,1353,14,0,95,8,204,1389
12073,"Leon County, Florida",291863,175738,91018,395,10573,118,3779,10242,19142
12077,"Liberty County, Florida",8333,6458,1173,128,35,0,169,370,381
12083,"Marion County, Florida",360210,287800,46559,957,5167,111,4601,15015,49391
12087,"Monroe County, Florida",75137,63513,5684,80,974,141,1639,3106,18478
12093,"Okeechobee County, Florida",41611,34308,3621,233,393,83,1644,1329,10755
31005,"Arthur County, Nebraska",439,422,0,1,0,0,1,15,7
31011,"Boone County, Nebraska",5228,5133,7,5,20,0,0,63,118
31017,"Brown County, Nebraska",2887,2797,1,6,11,0,0,72,72
31023,"Butler County, Nebraska",7997,7700,6,58,15,0,58,160,314
27159,"Wadena County, Minnesota",13681,12821,109,107,44,0,82,518,276
31029,"Chase County, Nebraska",3707,3463,3,0,27,0,1,213,522
31035,"Clay County, Nebraska",6193,5884,19,33,1,0,91,165,556
31039,"Cuming County, Nebraska",8882,8186,24,38,15,13,272,334,892
31045,"Dawes County, Nebraska",8685,7676,260,251,51,0,0,447,482
31051,"Dixon County, Nebraska",5682,5209,5,26,21,0,206,215,806
31057,"Dundy County, Nebraska",1928,1911,3,1,0,0,9,4,170
31063,"Frontier County, Nebraska",2636,2532,26,5,2,0,9,62,55
31069,"Garden County, Nebraska",1916,1871,0,8,4,0,19,14,96
31075,"Grant County, Nebraska",691,671,5,1,1,0,6,7,0
31081,"Hamilton County, Nebraska",9219,8804,8,1,48,9,103,246,337
01019,"Cherokee County, Alabama",26035,23970,1250,150,26,0,212,427,432
01021,"Chilton County, Alabama",44147,36260,4268,504,195,0,1571,1349,3423
01023,"Choctaw County, Alabama",12755,7253,5398,7,25,0,11,61,69
01025,"Clarke County, Alabama",23866,12520,10909,18,109,0,47,263,140
01027,"Clay County, Alabama",13285,11068,2035,20,33,0,6,123,410
01029,"Cleburne County, Alabama",14952,13955,394,21,1,0,281,300,380
01031,"Coffee County, Alabama",52238,39014,8906,523,843,0,675,2277,4011
01033,"Colbert County, Alabama",54957,43279,8909,313,282,57,985,1132,1591
01035,"Conecuh County, Alabama",12219,6176,5872,20,70,0,0,81,59
