FIPS Code,% births to unmarried women,% women currently married,% children with single parent,"Non-religious non-profit organizations p 1,000","Religious congregations p 1,000",Informal Civic Engagement Subindex,"Presidential election voting rate, 2012 & 2016",Mail-back census response rate,Confidence in Institutions Subindex,"Membership Organizations p 1,000","Recreation/leisure establishments p 1,000","""Associations"" p 1,000, Penn State method","Non-religious non-profits plus religious congregations p 1,000","Religious adherents p 1,000","% get emotional support sometimes, rarely, or never","Charitable contributions as share of AGI, middle-class itemizers",Share of middle-class itemizers who deducted charitable contributions,Ratio of 80th to 20th percentile of hh income
01001,29.6,65.2,22.4,2.2,1.9,-1.03,60.5,78.0,0.21,12.9,1.8,14.0,4.2,67.7,23.7,5.7,84.6,4.39
01003,28.9,61.1,21.7,3.0,1.5,-1.03,60.0,73.0,0.21,11.6,2.9,11.0,4.5,53.2,19.3,5.1,81.7,4.60
01005,55.2,52.0,54.0,2.7,3.2,-1.03,54.2,63.0,0.21,8.4,1.1,8.0,5.9,55.0,17.6,6.8,88.6,5.86
01007,5.3,51.8,25.8,2.1,3.5,-1.03,49.2,58.0,0.21,9.8,0.9,10.6,5.6,49.9,29.1,6.5,86.5,4.23
01009,28.8,71.4,25.9,1.5,2.7,-1.03,58.9,80.0,0.21,7.5,1.9,8.8,4.2,65.2,14.3,5.1,81.2,4.07
01011,,28.8,73.9,3.7,4.3,-1.03,61.5,34.0,0.21,10.5,1.0,9.6,8.0,57.7,,7.5,87.5,6.05
01013,,47.3,48.5,2.9,4.4,-1.03,59.1,56.0,0.21,9.9,3.5,10.9,7.3,58.6,27.6,6.5,78.6,5.05
01015,32.4,59.7,35.1,2.8,2.4,-1.03,53.3,75.0,0.21,14.4,1.7,14.1,5.1,71.4,22.4,6.8,87.8,4.86
01017,52.1,53.1,45.9,1.8,3.5,-1.03,54.0,74.0,0.21,18.5,0.3,18.2,5.3,65.0,32.6,8.2,91.4,4.70
01019,8.2,67.4,31.3,2.1,3.0,-1.03,50.6,55.0,0.21,10.1,0.8,10.1,5.1,47.9,23.0,5.4,81.6,4.64
01021,50.0,69.4,28.7,1.6,2.8,-1.03,57.1,72.0,0.21,16.2,0.7,16.7,4.4,69.9,22.6,6.1,80.0,4.90
01023,61.0,54.5,37.2,3.6,6.0,-1.03,72.8,57.0,0.21,20.5,1.5,20.5,9.6,70.1,26.8,6.3,76.7,5.71
01025,27.6,52.6,29.0,3.2,4.7,-1.03,70.4,57.0,0.21,17.8,1.6,19.0,7.9,79.2,27.7,7.4,84.3,8.80
01027,66.0,57.5,36.7,2.7,5.0,-1.03,64.6,70.0,0.21,11.1,0.7,11.1,7.7,74.0,26.6,6.4,81.8,4.37
01029,12.8,74.8,19.4,2.1,4.4,-1.03,57.8,67.0,0.21,9.3,0.7,10.0,6.5,76.6,24.5,6.0,86.2,4.86
01031,57.5,64.5,36.9,2.3,2.4,-1.03,54.1,71.0,0.21,14.9,2.5,16.1,4.7,66.1,22.7,6.2,81.7,5.01
01033,26.0,56.5,31.4,2.9,2.6,-1.03,57.6,74.0,0.21,17.5,2.4,18.2,5.4,69.5,20.7,6.1,86.2,5.01
01035,,46.4,45.9,2.3,4.7,-1.03,69.8,53.0,0.21,9.5,1.6,9.5,7.0,57.1,,6.4,81.3,5.35
01037,52.8,55.4,26.8,2.5,4.2,-1.03,60.4,47.0,0.21,10.3,0.0,10.3,6.8,53.3,,5.7,75.0,4.22
01039,,62.7,33.1,3.2,3.3,-1.03,53.9,64.0,0.21,11.7,3.5,13.3,6.5,61.9,15.1,5.3,75.0,4.71
01041,50.2,68.1,34.3,2.1,4.9,-1.03,60.5,65.0,0.21,10.8,0.7,10.8,7.0,63.2,17.7,5.3,78.9,5.65
01043,26.2,65.0,25.3,2.1,2.8,-1.03,59.0,76.0,0.21,12.0,1.1,12.1,4.9,78.1,16.7,6.1,82.9,4.52
01045,21.1,59.3,33.2,2.2,2.2,-1.03,50.1,60.0,0.21,11.3,1.8,11.7,4.3,49.2,17.1,5.9,82.2,5.23
01047,81.7,36.5,71.0,4.8,3.2,-1.03,65.3,63.0,0.21,14.2,2.2,13.7,8.0,60.6,33.4,8.8,91.9,6.79
01049,32.7,62.5,30.4,1.9,2.6,-1.03,50.7,70.0,0.21,9.0,1.5,9.3,4.5,55.4,26.2,5.5,83.1,4.58
01051,45.9,66.1,30.0,2.6,1.8,-1.03,59.3,78.0,0.21,10.3,1.4,10.5,4.4,47.0,14.9,5.7,82.9,4.29
01053,,59.7,39.3,3.3,3.2,-1.03,51.0,70.0,0.21,15.1,1.6,14.5,6.5,60.1,20.5,7.1,79.3,5.63
01055,44.7,57.8,36.3,2.7,2.5,-1.03,55.4,76.0,0.21,15.0,2.2,15.7,5.1,80.4,24.7,6.0,88.7,4.59
01057,18.0,67.1,26.2,3.3,5.5,-1.03,62.0,78.0,0.21,10.8,0.6,11.4,8.7,64.0,28.2,6.5,89.5,5.12
01059,46.0,67.4,36.9,2.0,3.2,-1.03,53.0,72.0,0.21,8.9,1.6,10.1,5.2,64.4,24.3,5.9,83.8,4.56
01061,48.0,55.5,37.8,1.6,3.8,-1.03,56.4,73.0,0.21,8.6,0.4,8.6,5.4,61.6,24.4,6.4,77.4,4.82
01063,66.3,20.5,63.3,4.3,3.1,-1.03,77.8,42.0,0.21,11.8,0.0,11.8,7.4,26.8,,9.8,90.9,5.30
01065,48.0,36.3,47.7,3.8,4.4,-1.03,72.1,55.0,0.21,5.3,1.3,6.0,8.2,60.5,,8.1,84.6,6.05
01067,16.2,69.5,27.5,2.4,2.5,-1.03,63.6,59.0,0.21,16.3,0.6,16.3,4.9,47.4,16.3,6.8,82.8,5.11
01069,48.7,51.0,41.9,2.7,2.1,-1.03,55.0,73.0,0.21,12.2,3.9,12.8,4.8,79.8,19.8,6.1,80.9,5.11
01071,39.3,67.4,28.6,2.2,2.7,-1.03,51.8,74.0,0.21,8.6,0.8,9.0,4.9,54.3,22.0,5.1,80.0,4.85
01073,50.7,53.0,40.0,4.7,1.8,-1.03,62.2,74.0,0.21,14.8,2.7,14.4,6.5,83.9,22.6,6.6,89.5,5.53
01075,13.9,65.2,32.0,2.2,6.2,-1.03,65.1,80.0,0.21,8.6,2.2,8.6,8.3,75.8,21.5,8.1,87.5,4.58
01077,28.7,67.6,33.2,9.0,2.2,-1.03,53.1,73.0,0.21,14.4,2.2,15.0,11.3,58.3,19.3,5.9,86.5,4.96
01079,20.1,69.9,27.8,1.5,2.4,-1.03,56.4,76.0,0.21,13.3,0.6,13.3,3.9,52.2,25.0,6.8,87.5,4.96
01081,36.0,60.0,32.0,2.8,1.2,-1.03,49.4,72.0,0.21,8.5,1.8,8.4,4.1,40.6,17.1,5.7,86.1,6.27
