,name,parent,numeral,discovery_year,year_announced,discovered_by,notes,mean_radius_km,orbital_semi_km,sidereal_period
0,Moon,Earth,1.0,0.0,,—,Synchronous rotation (Binary),173.0,384,27.321582
1,Phobos,Mars,1.0,1877.0,1877.0,Hall,Synchronous rotation,11.267,938,0.319
2,Deimos,Mars,2.0,1877.0,1877.0,Hall,Synchronous rotation,6.2,234,1.262
3,Io,Jupiter,1.0,1610.0,1610.0,Galileo,Main-group moon (Galilean),1821.6,421,1.769
4,Europa,Jupiter,2.0,1610.0,1610.0,Galileo,Main-group moon (Galilean),1560.8,671,3.551
5,Ganymede,Jupiter,3.0,1610.0,1610.0,Galileo,Main-group moon (Galilean),2634.1,107,7.155
6,Callisto,Jupiter,4.0,1610.0,1610.0,Galileo,Main-group moon (Galilean),2410.3,188,16.69
7,Amalthea,Jupiter,5.0,1892.0,1892.0,Barnard,Inner moon (Amalthea),83.5,181,0.498
8,Himalia,Jupiter,6.0,1904.0,1905.0,Perrine,Prograde irregular (Himalia),69.8,114,250.56
9,Elara,Jupiter,7.0,1905.0,1905.0,Perrine,Prograde irregular (Himalia),43.0,117,259.64
10,Pasiphae,Jupiter,8.0,1908.0,1908.0,Melotte,Retrograde irregular (Pasiphae),30.0,236,743.63
11,Sinope,Jupiter,9.0,1914.0,1914.0,Nicholson,Retrograde irregular (Pasiphae),19.0,239,758.9
12,Lysithea,Jupiter,10.0,1938.0,1938.0,Nicholson,Prograde irregular (Himalia),18.0,117,259.2
13,Carme,Jupiter,11.0,1938.0,1938.0,Nicholson,Retrograde irregular (Carme),23.0,234,734.17
14,Ananke,Jupiter,12.0,1951.0,1951.0,Nicholson,Retrograde irregular (Ananke),14.0,212,629.77
15,Leda,Jupiter,13.0,1974.0,1974.0,Kowal,Prograde irregular (Himalia),10.0,111,240.92
16,Thebe,Jupiter,14.0,1979.0,1980.0,Synnott (Voyager 1),Inner moon (Amalthea),49.3,221,0.675
17,Adrastea,Jupiter,15.0,1979.0,1979.0,"Jewitt, Danielson (Voyager 1)",Inner moon (Amalthea),8.2,129,0.298
18,Metis,Jupiter,16.0,1979.0,1980.0,Synnott (Voyager 1),Inner moon (Amalthea),21.5,128,0.295
19,Callirrhoe,Jupiter,17.0,1999.0,2000.0,"Scotti, Spahr, McMillan, Larsen, Montani, Gleason, Gehrels",Retrograde irregular (Pasiphae),4.5,241,758.77
20,Themisto,Jupiter,18.0,,,"Kowal and Roemer (original); Sheppard, Jewitt, Fernández, Magnier (rediscovery)",Prograde irregular (Themisto),4.0,728,130.02
21,Megaclite,Jupiter,19.0,2000.0,2001.0,"Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans",Retrograde irregular (Pasiphae),2.7,234,752.86
22,Taygete,Jupiter,20.0,2000.0,2001.0,"Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans",Retrograde irregular (Carme),2.5,232,732.41
23,Chaldene,Jupiter,21.0,2000.0,2001.0,"Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans",Retrograde irregular (Carme),1.9,231,723.72
24,Harpalyke,Jupiter,22.0,2000.0,2001.0,"Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans",Retrograde irregular (Ananke),2.2,208,623.32
